epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.00916,1.14712,2.62137,1.92299,0.97669,0.83808,0.93443,0.63165,0.81259,2.14113,1.8718,0.00026,0.00026,0.00026
2,13.048,0.81499,1.05617,1.88185,0.93827,0.91214,0.95419,0.72368,0.6792,1.37007,1.73561,0.000529308,0.000529308,0.000529308
3,18.9584,0.77308,0.82597,1.79257,0.9076,0.94,0.9782,0.76284,0.65053,1.16161,1.78646,0.000787528,0.000787528,0.000787528
4,24.9508,0.72554,0.68817,1.73327,0.97962,0.98,0.99312,0.7738,0.6537,0.87029,2.03764,0.00103466,0.00103466,0.00103466
5,30.8953,0.72338,0.6203,1.75945,1,0.99144,0.995,0.80506,0.68213,0.68884,1.89127,0.0012707,0.0012707,0.0012707
6,36.7942,0.77786,0.63336,1.7729,0.97822,0.98,0.9788,0.78485,0.74444,0.63548,1.79726,0.00149566,0.00149566,0.00149566
7,42.6756,0.77979,0.62609,1.80272,0.99766,0.98,0.98207,0.83397,0.60864,0.56592,2.19234,0.00170953,0.00170953,0.00170953
8,48.5921,0.75013,0.5919,1.82124,1,0.97748,0.99461,0.78142,0.70803,0.63336,1.86122,0.0017228,0.0017228,0.0017228
9,54.476,0.78611,0.57571,1.76979,1,0.99825,0.995,0.79844,0.7573,0.62919,1.90288,0.0016832,0.0016832,0.0016832
10,60.3606,0.73184,0.54166,1.73471,0.99715,0.98,0.98326,0.79808,0.6519,0.53508,1.86757,0.0016436,0.0016436,0.0016436
11,66.2349,0.71289,0.53308,1.7215,0.99765,1,0.995,0.81088,0.72562,0.54571,1.84558,0.001604,0.001604,0.001604
12,72.1835,0.68025,0.50925,1.71269,0.99827,1,0.995,0.84245,0.61661,0.47151,1.88824,0.0015644,0.0015644,0.0015644
13,78.0559,0.68249,0.51133,1.70999,0.99805,1,0.995,0.83203,0.6584,0.47981,1.79503,0.0015248,0.0015248,0.0015248
14,83.9005,0.65744,0.49126,1.6488,0.97823,0.98,0.99019,0.87517,0.56382,0.49109,1.9123,0.0014852,0.0014852,0.0014852
15,89.6889,0.6665,0.48711,1.6223,0.96144,0.99728,0.98894,0.84328,0.62484,0.5427,1.67927,0.0014456,0.0014456,0.0014456
16,95.568,0.66804,0.48612,1.66923,0.97996,0.9781,0.99152,0.87071,0.5628,0.48721,1.7103,0.001406,0.001406,0.001406
17,101.389,0.66727,0.48452,1.66002,0.96897,1,0.99304,0.85241,0.65854,0.5402,1.82207,0.0013664,0.0013664,0.0013664
18,107.213,0.62656,0.45577,1.69148,0.95877,1,0.99305,0.84543,0.59584,0.46911,1.87691,0.0013268,0.0013268,0.0013268
19,113.059,0.64108,0.46997,1.61764,0.95979,1,0.99346,0.84428,0.60848,0.43931,1.86035,0.0012872,0.0012872,0.0012872
20,119.035,0.61441,0.46092,1.58528,0.98039,0.99978,0.99382,0.87135,0.54871,0.44431,1.78829,0.0012476,0.0012476,0.0012476
21,124.875,0.62784,0.4665,1.60331,0.97529,0.98,0.99423,0.869,0.54425,0.44848,1.77477,0.001208,0.001208,0.001208
22,130.825,0.599,0.42669,1.61685,0.96151,0.99936,0.99346,0.8769,0.54574,0.45295,1.73865,0.0011684,0.0011684,0.0011684
23,136.741,0.57096,0.42636,1.62234,0.99649,0.98,0.99461,0.87284,0.52397,0.42161,1.78094,0.0011288,0.0011288,0.0011288
24,142.653,0.6046,0.4415,1.57219,1,0.9971,0.995,0.86981,0.50924,0.38876,1.86784,0.0010892,0.0010892,0.0010892
25,148.559,0.60808,0.43289,1.61909,0.99755,1,0.995,0.84833,0.57548,0.39108,1.80681,0.0010496,0.0010496,0.0010496
26,154.464,0.57425,0.41565,1.53752,0.9976,1,0.995,0.88381,0.50536,0.38057,1.80272,0.00101,0.00101,0.00101
27,160.386,0.57446,0.4171,1.62968,0.99657,1,0.995,0.86929,0.52098,0.37557,1.74752,0.0009704,0.0009704,0.0009704
28,166.302,0.58452,0.41068,1.57564,0.97064,1,0.99422,0.8609,0.52443,0.41805,1.72762,0.0009308,0.0009308,0.0009308
29,172.17,0.55255,0.414,1.61098,0.97919,1,0.995,0.86918,0.50852,0.41196,1.70891,0.0008912,0.0008912,0.0008912
30,177.992,0.52781,0.39382,1.52246,1,0.99832,0.995,0.87454,0.47141,0.37779,1.66764,0.0008516,0.0008516,0.0008516
31,183.944,0.54087,0.4065,1.60182,0.99819,1,0.995,0.89343,0.46511,0.37731,1.71939,0.000812,0.000812,0.000812
32,189.943,0.52062,0.38525,1.5168,0.995,1,0.995,0.89892,0.44207,0.34488,1.73542,0.0007724,0.0007724,0.0007724
33,195.937,0.52117,0.38693,1.54053,0.9968,1,0.995,0.90256,0.4388,0.36194,1.71445,0.0007328,0.0007328,0.0007328
34,201.886,0.5344,0.39913,1.51863,1,0.99706,0.995,0.89912,0.45105,0.35787,1.87207,0.0006932,0.0006932,0.0006932
35,207.766,0.53565,0.3987,1.55417,0.99626,0.98,0.99461,0.89949,0.44979,0.3535,1.80311,0.0006536,0.0006536,0.0006536
36,213.628,0.52515,0.39204,1.60737,0.99777,1,0.995,0.90574,0.42403,0.33904,1.87807,0.000614,0.000614,0.000614
37,219.484,0.51708,0.38142,1.53323,0.99728,1,0.995,0.90635,0.43944,0.34364,2.08648,0.0005744,0.0005744,0.0005744
38,225.387,0.47705,0.35709,1.49917,0.99857,1,0.995,0.90083,0.42784,0.31175,1.95966,0.0005348,0.0005348,0.0005348
39,231.31,0.50835,0.36886,1.5732,0.99904,1,0.995,0.89938,0.43237,0.31614,1.71646,0.0004952,0.0004952,0.0004952
40,237.292,0.49888,0.36631,1.55768,0.99871,1,0.995,0.91039,0.38308,0.30295,1.76874,0.0004556,0.0004556,0.0004556
41,259.94,0.41581,0.32033,1.53556,0.99824,1,0.995,0.92063,0.40944,0.32295,1.76725,0.000416,0.000416,0.000416
42,265.83,0.42212,0.33072,1.45234,0.99873,1,0.995,0.91577,0.42888,0.34415,1.74183,0.0003764,0.0003764,0.0003764
43,271.727,0.39279,0.31937,1.47437,0.99845,1,0.995,0.91828,0.3967,0.31869,1.71024,0.0003368,0.0003368,0.0003368
44,277.672,0.38478,0.30989,1.51184,0.99587,1,0.995,0.89704,0.4236,0.34663,1.61916,0.0002972,0.0002972,0.0002972
45,283.538,0.37369,0.31088,1.48464,0.99248,1,0.995,0.88709,0.44608,0.35287,1.55785,0.0002576,0.0002576,0.0002576
46,289.405,0.36991,0.30465,1.53701,0.99683,1,0.995,0.89154,0.41975,0.31191,1.69296,0.000218,0.000218,0.000218
47,295.22,0.36739,0.30315,1.42571,0.99837,1,0.995,0.89677,0.41194,0.30711,1.68548,0.0001784,0.0001784,0.0001784
48,301.148,0.3743,0.29653,1.41785,0.9984,1,0.995,0.90114,0.39223,0.291,1.68952,0.0001388,0.0001388,0.0001388
49,307.027,0.3612,0.29616,1.43355,0.99832,1,0.995,0.90866,0.38449,0.28527,1.70701,9.92e-05,9.92e-05,9.92e-05
